station;NMHC;NO;NO2;NOx;O3;PH_RAIN;PM10;PM2.5;RAINFALL;RAIN_COND;RH;SO2;THC;UVB;WD_HR;WIND_DIREC;WIND_SPEED;WS_HR;
3:00;0:19;0:08;0:08;6:06;7:04;36;NR;21;6x;NR;NR;63;1:08;2;0;75;73;0:09;1:03
4:00;0:21;0:09;0:07;6:05;7:02;35;NR;24;6x;NR;NR;64;1:07;2:01;0;72;68;1:01;0:07
5:00;0:02;0:07;0:08;6:08;7:05;37;NR;22;9x;NR;NR;63;1:08;2;0;77;78;2:02;1:05
6:00;0:24;0:07;1:03;11;12;32;NR;22;11x;NR;NR;63;1:06;2;0;75;75;2:02;1:09
7:00;0:42;0:14;3:01;17;20;27;NR;27;10x;NR;NR;61;1:08;2:01;0:03;59;65;2;2:02
8:00;0:42;0:15;5:05;17;22;27;NR;28;12x;NR;NR;58;2;2:01;1:01;62;59;3:01;2:04
9:00;0:45;0:17;8:04;18;26;27;NR;29;12x;NR;NR;57;2;2:01;2:04;68;73;1:08;2:01
10:00;0:41;0:16;8:06;16;25;29;NR;32;11x;NR;NR;53;2:01;2:01;3:08;75;70;2:04;2:03
11:00;0:37;0:14;7:01;14;21;33;NR;27;10x;NR;NR;47;2;2:01;4:06;92;80;2:05;1:07
12:00;0:34;0:12;4:07;11;16;39;NR;23;7x;NR;NR;45;2:01;2;4:06;90;123;2:08;2:01
13:00;0:37;0:13;5:02;13;18;38;NR;26;12x;NR;NR;44;2;2;3:07;81;81;2:04;1:06
14:00;0:04;0:14;5:05;15;20;35;NR;27;16x;NR;NR;46;2:01;2:01;2:03;86;75;2:01;1:06
15:00;0:46;0:17;5:04;20;25;28;NR;29;15x;NR;NR;48;2;2:01;0:09;84;72;1:06;1:03
16:00;0:54;0:24;5;23;28;23;NR;29;15x;NR;NR;52;2:03;2:02;0:02;103;87;1:05;1:03
17:00;0,061805556;0:37;9;35;44;11;NR;33;20x;NR;NR;57;2:04;2:04;0;61;53;1:04;1:02
18:00;0,061111111;0:35;6:02;33;39;11;NR;38;21x;NR;NR;60;2:03;2:04;0;49;44;1:09;1:04
19:00;1:02;0:04;11;37;48;6:09;NR;37;17x;NR;NR;61;2:06;2:05;0;47;61;1;1:01
20:00;0,063194444;0:35;16;35;51;6:06;NR;37;15x;NR;NR;62;2:07;2:04;0;79;83;1:03;0:08
21:00;0,050694444;0:27;11;29;40;9:01;NR;32;18x;NR;NR;62;2:04;2:02;0;78;80;1:07;1:02
22:00;0,063194444;0:36;15;31;46;6:01;NR;28;12x;NR;NR;64;2:05;2:04;0;81;239;0:08;0:02
23:00;1:38;0,047916667;52;31;82;1:02;NR;44;19x;NR;NR;75;5:03;2:09;0;237;242;1:02;1
0:00;1:04;0:54;32;29;61;1;NR;59;31x;NR;NR;79;4:07;2:07;0;246;246;0:08;1
1:00;0,054861111;0:04;15;28;43;0:07;NR;54;34x;NR;NR;80;2:09;2:06;0;233;239;1;1:02
2:00;0,054166667;0:38;18;26;44;0:06;NR;53;37x;NR;NR;81;2:07;2:06;0;250;249;0:08;1
3:00;0,054166667;0:38;16;23;39;0:05;NR;50;36x;NR;NR;82;2:05;2:06;0;252;263;1;0:06
4:00;0:08;0:39;16;24;40;0:08;NR;46;31x;NR;NR;82;2:06;2:07;0;255;249;0:07;0:09
5:00;0,052777778;0:38;16;23;39;0:08;NR;51;34x;NR;NR;83;3:02;2:07;0;253;258;1:01;1:01
6:00;0,060416667;0:49;25;23;48;0:07;NR;56;38x;NR;NR;83;3:04;2:09;0;248;231;0:08;0:09
7:00;1:04;0:06;29;23;52;2:01;NR;60;36x;NR;NR;83;4:05;3;0:02;241;222;0:06;0:09
8:00;1:27;0,047222222;37;32;70;5:05;NR;67;40x;NR;NR;78;4:06;3:02;1;217;190;0:05;0:06
9:00;1:28;0,04375;25;41;66;15;NR;71;44x;NR;NR;70;3:08;3;2:03;225;237;0:07;0:06
10:00;1:24;0:57;16;41;57;29;NR;78;46x;NR;NR;61;3:07;2:09;3:07;247;204;0:08;0:06
11:00;0,056944444;0:34;5:02;22;27;50;NR;71;44x;NR;NR;50;2:03;2:04;4:06;103;75;1:01;0:03
12:00;0,042361111;0:22;3;18;21;62;NR;56;36x;NR;NR;46;3:01;2:02;4:03;351;342;3:01;0:09
13:00;0:06;0:21;4:03;21;25;55;NR;71;41x;NR;NR;59;4:08;2:02;3:03;347;341;3;1:08
14:00;0,042361111;0:21;3:04;23;26;59;NR;89;52x;NR;NR;61;5:03;2:02;2;337;326;2:08;1:07
15:00;0,04375;0:23;2:07;24;27;56;NR;89;52x;NR;NR;62;5:04;2:02;0:08;357;26;2:05;1:05
16:00;0,045833333;0:24;1:09;28;29;49;NR;89;48x;NR;NR;66;5:03;2:02;0:02;343;324;2:07;1:08
17:00;1:03;0:38;1:08;38;40;29;NR;90;48x;NR;NR;71;4:05;2:05;0;351;343;0:09;1
18:00;0,0875;0,045138889;6:03;55;62;8:03;NR;94;56x;NR;NR;73;3:08;2:09;0;341;32;1:02;0:08
19:00;1:55;0,043055556;5:08;50;56;9:01;NR;93;57x;NR;NR;76;2:07;2:08;0;24;342;1;0:08
